No. of Stiffeners (N),Stiffener Spacing (l) in mm,Stiffener Thickness (ts) in mm,Stiffener Height (hs) in mm,Stiffener Area in mm2,Buckling Strength MPa
9,88.9,13,3.87,50.34,0.861
9,88.9,13.5,3.73,50.34,0.833
9,88.9,14,3.6,50.34,0.799
9,88.9,14.5,3.47,50.34,0.738
9,88.9,15,3.36,50.34,0.72
9,88.9,15.5,3.25,50.34,0.704
9,88.9,16,3.15,50.34,0.689
9,88.9,16.5,3.05,50.34,0.674
9,88.9,17,2.96,50.34,0.659
9,88.9,17.5,2.88,50.34,0.648
9,88.9,18,2.8,50.34,0.64
9,88.9,18.5,2.72,50.34,0.631
9,88.9,19,2.65,50.34,0.617
9,88.9,19.5,2.58,50.34,0.614
9,88.9,20,2.52,50.34,0.603
9,88.9,20.5,2.46,50.34,0.603
9,88.9,21,2.4,50.34,0.589
9,88.9,21.5,2.34,50.34,0.586
9,88.9,22,2.29,50.34,0.584
9,88.9,22.5,2.24,50.34,0.572
9,88.9,23,2.19,50.34,0.576
9,88.9,23.5,2.14,50.34,0.582
9,88.9,24,2.1,50.34,0.583
9,88.9,24.5,2.05,50.34,0.596
9,88.9,25,2.01,50.34,0.623
11,74.08,2,20.89,41.77,5.554
11,74.08,2.5,16.71,41.77,4.461
11,74.08,3,13.92,41.77,3.683
11,74.08,3.5,11.93,41.77,3.248
11,74.08,4,10.44,41.77,2.938
11,74.08,4.5,9.28,41.77,2.57
11,74.08,5,8.35,41.77,2.16
11,74.08,5.5,7.59,41.77,1.898
11,74.08,6,6.96,41.77,1.691
11,74.08,6.5,6.43,41.77,1.519
11,74.08,7,5.97,41.77,1.374
11,74.08,7.5,5.57,41.77,1.263
11,74.08,8,5.22,41.77,1.169
11,74.08,8.5,4.91,41.77,1.083
11,74.08,9,4.64,41.77,1.018
11,74.08,9.5,4.4,41.77,0.977
11,74.08,10,4.18,41.77,0.946
11,74.08,10.5,3.98,41.77,0.914
11,74.08,11,3.8,41.77,0.871
11,74.08,11.5,3.63,41.77,0.84
11,74.08,12,3.48,41.77,0.753
11,74.08,12.5,3.34,41.77,0.727
11,74.08,13,3.21,41.77,0.707
11,74.08,13.5,3.09,41.77,0.687
11,74.08,14,2.98,41.77,0.667
11,74.08,14.5,2.88,41.77,0.651
11,74.08,15,2.78,41.77,0.638
11,74.08,15.5,2.69,41.77,0.625
11,74.08,16,2.61,41.77,0.643
11,74.08,16.5,2.53,41.77,0.599
11,74.08,17,2.46,41.77,0.602
11,74.08,17.5,2.39,41.77,0.586
11,74.08,18,2.32,41.77,0.584
11,74.08,18.5,2.26,41.77,0.576
11,74.08,19,2.2,41.77,0.567
11,74.08,19.5,2.14,41.77,0.571
11,74.08,20,2.09,41.77,0.562
11,74.08,20.5,2.04,41.77,0.579
13,63.5,2,17.01,34.02,4.583
13,63.5,2.5,13.61,34.02,3.652
13,63.5,3,11.34,34.02,3.147
13,63.5,3.5,9.72,34.02,2.812
13,63.5,4,8.51,34.02,2.343
13,63.5,4.5,7.56,34.02,1.936
13,63.5,5,6.8,34.02,1.674
13,63.5,5.5,6.19,34.02,1.476
13,63.5,6,5.67,34.02,1.315
13,63.5,6.5,5.23,34.02,1.19
13,63.5,7,4.86,34.02,1.084
13,63.5,7.5,4.54,34.02,1.012
13,63.5,8,4.25,34.02,0.957
13,63.5,8.5,4,34.02,0.926
13,63.5,9,3.78,34.02,0.872
13,63.5,9.5,3.58,34.02,0.816
13,63.5,10,3.4,34.02,0.738
13,63.5,10.5,3.24,34.02,0.71
13,63.5,11,3.09,34.02,0.684
13,63.5,11.5,2.96,34.02,0.66
13,63.5,12,2.84,34.02,0.639
13,63.5,12.5,2.72,34.02,0.622
13,63.5,13,2.62,34.02,0.609
13,63.5,13.5,2.52,34.02,0.597
13,63.5,14,2.43,34.02,0.582
13,63.5,14.5,2.35,34.02,0.579
13,63.5,15,2.27,34.02,0.568
13,63.5,15.5,2.19,34.02,0.553
13,63.5,16,2.13,34.02,0.557
13,63.5,16.5,2.06,34.02,0.541
13,63.5,17,2,34.02,0.613
17,49.39,2,13.1,26.19,3.702
17,49.39,2.5,10.48,26.19,3.072
17,49.39,3,8.73,26.19,2.688
17,49.39,3.5,7.48,26.19,2.082
17,49.39,4,6.55,26.19,1.727
17,49.39,4.5,5.82,26.19,1.465
17,49.39,5,5.24,26.19,1.275
17,49.39,5.5,4.76,26.19,1.128
17,49.39,6,4.37,26.19,1.036
17,49.39,6.5,4.03,26.19,0.984
17,49.39,7,3.74,26.19,0.905
17,49.39,7.5,3.49,26.19,0.785
17,49.39,8,3.27,26.19,0.74
17,49.39,8.5,3.08,26.19,0.703
17,49.39,9,2.91,26.19,0.666
17,49.39,9.5,2.76,26.19,0.641
17,49.39,10,2.62,26.19,0.618
17,49.39,10.5,2.49,26.19,0.606
17,49.39,11,2.38,26.19,0.589
17,49.39,11.5,2.28,26.19,0.574
17,49.39,12,2.18,26.19,0.552
17,49.39,12.5,2.1,26.19,0.555
17,49.39,13,2.01,26.19,0.583
